"contents href","inset-y-0 src","absolute","w-full src","mb-1","mr-0 src","truncate","font-medium","truncate 2","875rem] href"
"https://shopee.vn/%C3%81o-sweater-th%C3%AAu-ch%E1%BB%AF-n%E1%BB%95i-INS-form-boxy-%C3%81o-hoodie-n%E1%BB%89-c%E1%BB%95-tr%C3%B2n-v%E1%BA%A3i-l%C3%B3t-b%C3%B4ng-d%C3%A0y-d%E1%BA%B7n-form-r%E1%BB%99ng-phong-c%C3%A1ch-H%C3%A0n-Qu%E1%BB%91c-i.580644368.28770242927?extraParams=%7B%22display_model_id%22%3A252301826307%2C%22model_selection_logic%22%3A3%7D&xptdk=577020d3-86aa-4453-8abb-38e8646525ec","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m3luuncct9gh4f_tn.webp","-45%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Áo sweater thêu chữ nổi INS form boxy,Áo hoodie nỉ cổ tròn vải lót bông dày dặn form rộng phong cách Hàn Quốc","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Giảm 5k₫","108.900","Đã bán 6k+","https://shopee.vn/find_similar_products?catid=100017&itemid=28770242927&shopid=580644368"
"https://shopee.vn/-R%E1%BA%BB-V%C3%B4-%C4%90%E1%BB%8Bch-%C3%81o-Kho%C3%A1c-N%E1%BB%89-Nam-N%E1%BB%AF-Form-R%E1%BB%99ng-Tay-L%E1%BB%A1-Unisex-ch%E1%BB%AF-%C4%90%E1%BA%A0I-D%C6%AF%C6%A0NG-i.978816529.43358160997?extraParams=%7B%22display_model_id%22%3A265688717008%2C%22model_selection_logic%22%3A3%7D&xptdk=c0fba007-6b97-418a-b331-ce8fc98658b6","https://down-vn.img.susercontent.com/file/sg-11134201-7rdwd-mc1vee8n1i6m35_tn.webp","","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","[ Rẻ Vô Địch ] Áo Khoác Nỉ Nam Nữ Form Rộng Tay Lỡ Unisex chữ-ĐẠI DƯƠNG","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","49.000","Đã bán 87","https://shopee.vn/find_similar_products?catid=100017&itemid=43358160997&shopid=978816529"
"https://shopee.vn/Breeze_ros-%C3%81o-Thun-Polo-L%E1%BB%A5a-Th%C3%AAu-N%C6%A1-Cho-N%E1%BB%AF-Th%E1%BB%9Di-Trang-V%C3%A0-%C4%90a-N%C4%83ng-S%C3%A0nh-%C4%90i%E1%BB%87u-V%C3%A0-Tr%E1%BA%BB-Trung-V416-i.1266742696.26436132622?extraParams=%7B%22display_model_id%22%3A149176610370%2C%22model_selection_logic%22%3A3%7D&xptdk=e000e077-36ee-447c-8f05-1160a6b88601","https://down-vn.img.susercontent.com/file/sg-11134253-7rdx8-mdcyuea8cyyhba_tn.webp","-20%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Breeze_ros Áo Thun Polo Lụa Thêu Nơ Cho Nữ, Thời Trang Và Đa Năng, Sành Điệu Và Trẻ Trung-V416","","","20.600","Đã bán 152","https://shopee.vn/find_similar_products?catid=100017&itemid=26436132622&shopid=1266742696"
"https://shopee.vn/Set-k%E1%BA%B9p-t%C3%B3c-b%C3%A9-g%C3%A1i-ch%E1%BA%A5t-li%E1%BB%87u-b%E1%BB%81n-%C4%91%E1%BA%B9p-d%E1%BB%85-th%C6%B0%C6%A1ng-19-c%C3%A1i-m%C3%A0u-h%E1%BB%93ng-i.863821875.29314047067?extraParams=%7B%22display_model_id%22%3A257925328752%2C%22model_selection_logic%22%3A3%7D&rModelId=257925328752&vItemId=43408453408&vModelId=301275824979&vShopId=1506174776&xptdk=da23017d-186c-47d4-b669-b77435a58ae6","https://down-vn.img.susercontent.com/file/sg-11134253-824gv-mf1q4np8ke14ec_tn.webp","-1%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tp0vb2tc49f","Set kẹp tóc bé gái chất liệu bền đẹp dễ thương 19 cái màu hồng","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","62.990","Đã bán 60k+","https://shopee.vn/find_similar_products?catid=100009&itemid=43408453408&shopid=1506174776"
"https://shopee.vn/(GI%C3%81-T%E1%BA%A0I-X%C6%AF%E1%BB%9ENG)-D%C3%A9p-b%C3%B3t-x%C3%A1m-%C4%91%E1%BB%8F-n%C3%A2u-%C4%91en-xanh-nam-n%E1%BB%AF-size-36-43-d%C3%A9p-d%E1%BA%BBo-nh%E1%BA%B9-h%E1%BB%A3p-th%E1%BB%9Di-trang-i.449596722.42650222097?extraParams=%7B%22display_model_id%22%3A300017320552%2C%22model_selection_logic%22%3A3%7D&xptdk=63654d0f-95fe-4905-8f09-7c837c324abe","https://down-vn.img.susercontent.com/file/sg-11134253-824hh-mdwyqm9x0w76b1_tn.webp","-95%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5teqetatc461","(GIÁ TẠI XƯỞNG) Dép bót xám đỏ nâu đen xanh nam nữ size 36-43 dép dẻo nhẹ hợp thời trang","","Giá dành riêng bạn mới","1.000","Đã bán 2k+","https://shopee.vn/find_similar_products?catid=100012&itemid=42650222097&shopid=449596722"
"https://shopee.vn/%C3%81o-ph%C3%B4ng-th%E1%BB%A7y-th%E1%BB%A7-tay-l%E1%BB%A1-%C3%A1o-thun-th%C3%AAu-logo-ng%E1%BB%B1a-ph%E1%BB%91i-kh%C4%83n-qu%C3%A0ng-ch%E1%BA%A5t-li%E1%BB%87u-cotton-c%C3%B3-gi%C3%A3n-tho%C3%A1ng-m%C3%A1t-i.1142747844.26307601978?extraParams=%7B%22display_model_id%22%3A241359066170%2C%22model_selection_logic%22%3A3%7D&xptdk=c5986212-2d8b-4aa1-801d-3c1afaf436f8","https://down-vn.img.susercontent.com/file/sg-11134253-7reor-m8uw8ku6m4zk7c_tn.webp","-38%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Áo phông thủy thủ tay lỡ, áo thun thêu logo ngựa phối khăn quàng chất liệu cotton có giãn thoáng mát","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","24.000","Đã bán 3k+","https://shopee.vn/find_similar_products?catid=100017&itemid=26307601978&shopid=1142747844"
"https://shopee.vn/B%C3%A1t-S%E1%BB%A9-4-m%C3%B3n-D%E1%BB%85-Th%C6%B0%C6%A1ng-cao-c%E1%BA%A5p-h%C3%A0ng-lo%E1%BA%A1i-1-%C4%91%C3%B3ng-g%C3%B3i-h%E1%BB%99p-x%E1%BB%91p-m%E1%BA%ABu-m%E1%BB%9Bi-i.108316686.27601006494?extraParams=%7B%22display_model_id%22%3A270596335296%2C%22model_selection_logic%22%3A3%7D&xptdk=6ec344bb-8ba9-499a-b1cf-4c7b223c1417","https://down-vn.img.susercontent.com/file/sg-11134201-7rd4i-m7c4z0i105bj53_tn.webp","-98%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5teqetatc461","Bát Sứ 4 món Dễ Thương, cao cấp hàng loại 1 đóng gói hộp xốp mẫu mới","","Rẻ Vô Địch","1.000","Đã bán 70k+","https://shopee.vn/find_similar_products?catid=100636&itemid=27601006494&shopid=108316686"
"https://shopee.vn/B%E1%BB%88M-JOLIE-100-MI%E1%BA%BENG-xu%E1%BA%A5t-nh%E1%BA%ADt-M-L-XL-XXL-XXXL-4XL-i.165232680.6734739785?extraParams=%7B%22display_model_id%22%3A237441998058%2C%22model_selection_logic%22%3A3%7D&xptdk=5c061b06-98a2-41c0-9f07-b852af2f9c76","https://down-vn.img.susercontent.com/file/sg-11134253-7rdwp-md7jizxvx9rr7f_tn.webp","-34%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","BỈM JOLIE 100 MIẾNG xuất nhật M-L-XL- XXL- XXXL -4XL","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","100.000","Đã bán 40k+","https://shopee.vn/find_similar_products?catid=100632&itemid=6734739785&shopid=165232680"
"https://shopee.vn/Combo-20-b%C3%BAt-bi-n%C6%B0%E1%BB%9Bc-v%C4%83n-ph%C3%B2ng-m%E1%BB%B1c-gel-ng%C3%B2i-0.5-%C4%91%E1%BA%A7u-kim-m%E1%BB%B1c-%C4%91%E1%BB%81u-n%C3%A9t-ch%E1%BB%AF-%C4%91%E1%BA%B9p-i.408965944.20582011419?extraParams=%7B%22display_model_id%22%3A246397328651%2C%22model_selection_logic%22%3A3%7D&xptdk=18770602-95a2-45ce-b165-b9e59d0efb1a","https://down-vn.img.susercontent.com/file/sg-11134253-7rdxz-mboryz6d62xi6d_tn.webp","-50%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5teqetatc461","Combo 20 bút bi nước văn phòng mực gel ngòi 0.5 đầu kim mực đều nét chữ đẹp","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","","10.000","Đã bán 100k+","https://shopee.vn/find_similar_products?catid=100638&itemid=20582011419&shopid=408965944"
"https://shopee.vn/Qu%E1%BA%A7n-legging-d%C3%A0i-n%E1%BB%AF-c%E1%BA%A1p-cao-4cm-%C3%B4m-fit-body-ch%E1%BA%A5t-cotton-co-d%C3%A3n-%C3%B4m-t%C3%B4n-da%CC%81ng-m%C3%A0u-%C4%90en-(2-phi%C3%AAn-b%E1%BA%A3n-c%C3%B3-t%C3%BAi-v%C3%A0-kh%C3%B4ng-t%C3%BAi)-i.241382576.6845292723?extraParams=%7B%22display_model_id%22%3A70519021432%2C%22model_selection_logic%22%3A3%7D&xptdk=186b63b7-5a82-4ea7-bc9c-c6524abef58c","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mg3l3n7i8he744_tn.webp","-44%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5teqetatc461","Quần legging dài nữ cạp cao 4cm ôm fit body chất cotton co dãn ôm tôn dáng màu Đen (2 phiên bản có túi và không túi)","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","41.942","Đã bán 20k+","https://shopee.vn/find_similar_products?catid=100017&itemid=6845292723&shopid=241382576"
