"contents href","inset-y-0 src","absolute","w-full src","mb-1","truncate","font-medium","truncate 2","875rem] href","mr-0 src","truncate 3"
"https://shopee.vn/%C3%81o-kho%C3%A1c-China-Limited-Edition-Year-of-the-Snake-Track-Jacket-%C3%81o-khoa%CC%81c-nam-n%E1%BB%AF-A%CC%81o-jacket-ni%CC%89-2025-i.298734417.41776093545?extraParams=%7B%22display_model_id%22%3A297120992377%2C%22model_selection_logic%22%3A3%7D&xptdk=cd42a31d-e60d-4df5-a647-45f8e53fb428","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mgm1b3d0f2tpf0_tn.webp","-21%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Áo khoác China Limited Edition Year of the Snake Track Jacket, Áo khoác nam nữ, Áo jacket nỉ 2025","Giảm 100k₫","950.000","Đã bán 66","https://shopee.vn/find_similar_products?catid=100011&itemid=41776093545&shopid=298734417","",""
"https://shopee.vn/B%C3%A0n-m%C3%A1y-t%C3%ADnh-ch%C6%A1i-game-g%C3%B3c-ch%E1%BB%AF-Vi%E1%BB%87c-Ch%E1%BB%AF-L-Ch%E1%BA%AFc-Ch%E1%BA%AFn-B%E1%BB%81n-m%E1%BA%B7t-s%E1%BB%A3i-carbon-t%E1%BA%ADn-d%E1%BB%A5ng-t%E1%BB%91i-%C4%91a-kh%C3%B4ng-gian-g%C3%B3c-i.1262581239.43301124073?extraParams=%7B%22display_model_id%22%3A265091085921%2C%22model_selection_logic%22%3A3%7D&xptdk=92694c3c-3196-43a3-94aa-2a8207c64bd3","https://down-vn.img.susercontent.com/file/sg-11134253-7rdw2-mdiok7kxxrfdbc_tn.webp","-15%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Bàn máy tính chơi game góc chữ Việc Chữ L Chắc Chắn Bền mặt sợi carbon,tận dụng tối đa không gian góc","Rẻ Vô Địch","1.020.000","Đã bán 224","https://shopee.vn/find_similar_products?catid=100636&itemid=43301124073&shopid=1262581239","",""
"https://shopee.vn/-BST-Gi%C3%A1ng-Sinh-%C3%81o-N%E1%BB%89-BOO-Kh%C3%B4ng-M%C5%A9-Unisex-Form-Overfit-In-H%E1%BB%8Da-Ti%E1%BA%BFt-Noel-Ch%E1%BA%A5t-Li%E1%BB%87u-%E1%BA%A4m-%C3%81p-D%C3%A0y-D%E1%BA%B7n-i.17271526.53952818534?extraParams=%7B%22display_model_id%22%3A390272106089%2C%22model_selection_logic%22%3A3%7D&xptdk=6d942c5e-5478-4e7c-bbbc-287d818e3f79","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi1hnildsu124e_tn.webp","-30%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5talwivgn53c","[BST Giáng Sinh] Áo Nỉ BOO Không Mũ Unisex Form Overfit In Họa Tiết Noel Chất Liệu Ấm Áp, Dày Dặn","12% Giảm","419.000","Đã bán 55","https://shopee.vn/find_similar_products?catid=100011&itemid=53952818534&shopid=17271526","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d",""
"https://shopee.vn/Dung-d%E1%BB%8Bch-v%E1%BB%87-sinh-nam-gi%E1%BB%9Bi-Lepetit-Collagen-100ml-ng%C4%83n-ng%E1%BB%ABa-vi%C3%AAm-nhi%E1%BB%85m-s%E1%BA%A1ch-s%C3%A2u-th%C6%A1m-l%C3%A2u-i.725402894.24381015935?extraParams=%7B%22display_model_id%22%3A246932188055%2C%22model_selection_logic%22%3A3%7D&xptdk=bbf846ca-04c5-42e0-bce6-b35568db6538","https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-majbn80ot0ox0d_tn.webp","-11%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Dung dịch vệ sinh nam giới Lepetit Collagen 100ml ngăn ngừa viêm nhiễm, sạch sâu, thơm lâu","Rẻ Vô Địch","498.999","Đã bán 8k+","https://shopee.vn/find_similar_products?catid=100630&itemid=24381015935&shopid=725402894","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d","Giảm 10k₫"
"https://shopee.vn/%C3%81o-Kho%C3%A1c-Hoodie-Zip-Ninja-C%E1%BB%95-Cao-Phong-C%C3%A1ch-Ninja-Che-M%E1%BA%B7t-M%C5%A9-R%E1%BB%99ng-Si%C3%AAu-Ng%E1%BA%A7u-i.533973946.25715588074?extraParams=%7B%22display_model_id%22%3A128076238403%2C%22model_selection_logic%22%3A3%7D&xptdk=fc0bde8a-21f4-4aeb-8012-96aedfb85dd1","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m1du2oxe2wk83d_tn.webp","-51%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Áo Khoác Hoodie Zip Ninja Cổ Cao Phong Cách Ninja Che Mặt Mũ Rộng Siêu Ngầu","Rẻ Vô Địch","99.787","Đã bán 5k+","https://shopee.vn/find_similar_products?catid=100011&itemid=25715588074&shopid=533973946","",""
"https://shopee.vn/Qu%E1%BA%A7n-N%E1%BB%89-Su%C3%B4ng-Nam-N%E1%BB%AF-Ch%E1%BA%A5t-Li%E1%BB%87u-N%E1%BB%89-2-Da-Hack-D%C3%A1ng-Phong-C%C3%A1ch-H%C3%A0n-Qu%E1%BB%91c.-i.161355597.52003130470?extraParams=%7B%22display_model_id%22%3A315301706004%2C%22model_selection_logic%22%3A3%7D&xptdk=d6ce3d47-555a-48ea-92fe-e3f43dc78031","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mia854arh24nfa_tn.webp","-29%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Quần Nỉ Suông Nam Nữ Chất Liệu Nỉ 2 Da, Hack Dáng Phong Cách Hàn Quốc.","Rẻ Vô Địch","98.689","","https://shopee.vn/find_similar_products?catid=100011&itemid=52003130470&shopid=161355597","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6",""
"https://shopee.vn/-BST-GI%C3%81NG-SINH-%C3%81o-N%E1%BB%89-M%C5%A9-BOO-Boxy-Unisex-In-H%E1%BB%8Da-Ti%E1%BA%BFt-S%C3%A1ng-T%E1%BA%A1o-Ch%E1%BA%A5t-Li%E1%BB%87u-D%C3%A0y-D%E1%BA%B7n-Cao-C%E1%BA%A5p-Gi%E1%BB%AF-Nhi%E1%BB%87t-T%E1%BB%91t-i.17271526.52152860637?extraParams=%7B%22display_model_id%22%3A420276015720%2C%22model_selection_logic%22%3A3%7D&xptdk=361de2e7-8af3-4c01-8523-6eb9be421326","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi78rye3ha124c_tn.webp","-40%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5talwivgn53c","[BST GIÁNG SINH] Áo Nỉ Mũ BOO Boxy Unisex In Họa Tiết Sáng Tạo Chất Liệu Dày Dặn, Cao Cấp Giữ Nhiệt Tốt","Giảm 40k₫","419.000","Đã bán 6","https://shopee.vn/find_similar_products?catid=100011&itemid=52152860637&shopid=17271526","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d",""
"https://shopee.vn/CGF-%C3%81o-kho%C3%A1c-da-gi%E1%BA%A3-c%C3%B3-m%C5%A9-tr%C3%B9m-%C4%91%E1%BA%A7u-nam-i.1108000009.42960441450?extraParams=%7B%22display_model_id%22%3A248677994471%2C%22model_selection_logic%22%3A3%7D&xptdk=efdbfeec-077b-46f2-af2d-d017050d623b","https://down-vn.img.susercontent.com/file/sg-11134201-7rdyx-mcncdr00bc5q16_tn.webp","-49%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5talwivgn53c","CGF Áo khoác da giả có mũ trùm đầu nam","Rẻ Vô Địch","478.149","Đã bán 421","https://shopee.vn/find_similar_products?catid=100011&itemid=42960441450&shopid=1108000009","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d","12% Giảm"
"https://shopee.vn/B%E1%BB%99-Qu%E1%BA%A7n-%C3%81o-Nam-%C3%81o-S%C6%A1-Mi-D%C3%A0i-Tay-Qu%E1%BA%A7n-Kaki-Basic-C%C3%B3-T%C3%BAi-Tr%E1%BA%BB-Trung-Th%E1%BB%9Di-Trang-Zenkonu-SO-MI-NAM-023-QUAN-NAM-060-i.16580482.7978579551?extraParams=%7B%22display_model_id%22%3A73598184026%2C%22model_selection_logic%22%3A3%7D&xptdk=bcdd4191-19bb-4736-9493-49498200a2ca","https://down-vn.img.susercontent.com/file/sg-11134253-7rdwc-mdj8tai4quqh40_tn.webp","-55%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Bộ Quần Áo Nam Áo Sơ Mi Dài Tay Quần Kaki Basic Có Túi Trẻ Trung Thời Trang Zenkonu SO MI NAM 023 + QUAN NAM 060","Rẻ Vô Địch","112.356","Đã bán 20k+","https://shopee.vn/find_similar_products?catid=100011&itemid=7978579551&shopid=16580482","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Giảm 5k₫"
"https://shopee.vn/%C3%81o-Kho%C3%A1c-N%E1%BB%89-C%E1%BB%95-Cao-L%C3%B3t-L%C3%B4ng-C%C3%A1o-Nam-N%E1%BB%AF-Ph%E1%BB%91i-Kho%C3%A1-Zip-Form-Cleanfit-T%C3%B4n-D%C3%A1ng-D%E1%BB%85-Ph%E1%BB%91i-%C4%90%E1%BB%93-JESO-i.1641360637.41273628628?extraParams=%7B%22display_model_id%22%3A228159028475%2C%22model_selection_logic%22%3A3%7D&xptdk=9d17b408-ce77-49c2-801e-62a5e1705872","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mheccbfss9ot00_tn.webp","-50%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Áo Khoác Nỉ Cổ Cao Lót Lông Cáo Nam Nữ Phối Khoá Zip Form Cleanfit Tôn Dáng Dễ Phối Đồ- JESO","","295.000","Đã bán 6","https://shopee.vn/find_similar_products?catid=100011&itemid=41273628628&shopid=1641360637","",""
"https://shopee.vn/m%E1%BA%A1ch-ph%C3%A1t-tri%E1%BB%83n-tv-i.242711535.55750110268?extraParams=%7B%22display_model_id%22%3A287088198087%2C%22model_selection_logic%22%3A3%7D&xptdk=7df660b5-6e18-41ab-9941-25dbfe9bc74d","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mhhqo4jstgcj48_tn.webp","","","mạch phát triển tv","","260.000","Đã bán 5","https://shopee.vn/find_similar_products?catid=100011&itemid=55750110268&shopid=242711535","",""
"https://shopee.vn/B%E1%BB%99-Qu%E1%BA%A7n-%C3%81o-Nam-UMA-STORE-2-Chi-Ti%E1%BA%BFt-Swearter-N%E1%BB%89-Hai-Da-Form-Oversize-Bo-Chun-Ph%E1%BB%91i-Qu%E1%BA%A7n-Su%C3%B4ng-SPB29-i.1055510618.42324536607?extraParams=%7B%22display_model_id%22%3A238171930245%2C%22model_selection_logic%22%3A3%7D&xptdk=64059aab-92a7-470e-a616-6822997fcaee","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mfwqmp02ht709d_tn.webp","-50%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Bộ Quần Áo Nam UMA STORE 2 Chi Tiết Swearter Nỉ Hai Da Form Oversize Bo Chun Phối Quần Suông SPB29","10% Giảm","170.000","Đã bán 3k+","https://shopee.vn/find_similar_products?catid=100011&itemid=42324536607&shopid=1055510618","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d",""
"https://shopee.vn/%C3%81o-Sweater-Stusxy-%C3%81o-D%C3%A0i-Tay-Thu-%C4%90%C3%B4ng-N%E1%BB%89-Ch%C3%A2n-Cua-Form-Unisex-Nhi%E1%BB%81u-M%C3%A0u-SelinaStudio-Phong-C%C3%A1ch-Streetwear-SW09-i.951883291.29763742162?extraParams=%7B%22display_model_id%22%3A168463510945%2C%22model_selection_logic%22%3A3%7D&xptdk=3b95cc52-5c6c-45d8-9956-11b950b2899f","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mf58rjkbwtfv39_tn.webp","-24%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Áo Sweater Stusxy Áo Dài Tay Thu Đông Nỉ Chân Cua Form Unisex Nhiều Màu SelinaStudio Phong Cách Streetwear - SW09","Giảm 5k₫","280.440","Đã bán 58","https://shopee.vn/find_similar_products?catid=100011&itemid=29763742162&shopid=951883291","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6",""
"https://shopee.vn/%C3%81o-N%E1%BB%89-BOO-Sweater-Basic-Half-Zip-Ch%E1%BA%A5t-Li%E1%BB%87u-N%E1%BB%89-2-Da-Cao-C%E1%BA%A5p-Ph%E1%BB%91i-M%C3%A0u-C%C3%A1-T%C3%ADnh-i.17271526.40871611880?extraParams=%7B%22display_model_id%22%3A149305694081%2C%22model_selection_logic%22%3A3%7D&xptdk=9b3d314c-7c31-4bd0-b2bd-16a0b2b66912","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mgd7nfiu6y30ab_tn.webp","-36%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5talwivgn53c","Áo Nỉ BOO Sweater Basic Half Zip Chất Liệu Nỉ 2 Da Cao Cấp, Phối Màu Cá Tính","Rẻ Vô Địch","268.999","Đã bán 1k+","https://shopee.vn/find_similar_products?catid=100011&itemid=40871611880&shopid=17271526","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d","Giảm 40k₫"
"https://shopee.vn/%C3%81o-Sweater-C%E1%BB%95-V-TH%C3%8AU-BST-03-Rainbow-By-JOLI-Ch%E1%BA%A5t-N%E1%BB%89-2-Da-Form-R%E1%BB%99ng-D%C3%A1ng-Unisex-Tr%E1%BA%BB-Trung-i.27035917.25302919391?extraParams=%7B%22display_model_id%22%3A291917958551%2C%22model_selection_logic%22%3A3%7D&xptdk=c6148d1c-15d8-4047-a9e1-120ef9a0d119","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mfki5e6pppu364_tn.webp","-30%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5talwivgn53c","Áo Sweater Cổ V THÊU BST 03 Rainbow By JOLI Chất Nỉ 2 Da Form Rộng Dáng Unisex Trẻ Trung","Rẻ Vô Địch","139.000","Đã bán 612","https://shopee.vn/find_similar_products?catid=100017&itemid=25302919391&shopid=27035917","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","Giảm 14k₫"
"https://shopee.vn/Kem-R%E1%BB%ADa-M%E1%BA%B7t-Hada-Labo-S%E1%BA%A1ch-S%C3%A2u-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-S%C3%A1ng-Da-Ch%E1%BB%91ng-L%C3%A3o-H%C3%B3a-C%C4%83ng-B%C3%B3ng-Cho-Da-80g-i.115570407.17248664102?extraParams=%7B%22display_model_id%22%3A154546572191%2C%22model_selection_logic%22%3A3%7D&rModelId=154546572191&vItemId=45001175514&vModelId=335104524598&vShopId=1506174776&xptdk=0d4c2326-e324-485d-8154-6b2e70d8f43f","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mfasojlzoetn9e_tn.webp","-10%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5teqetatc461","Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm, Sáng Da , Chống Lão Hóa Căng Bóng Cho Da 80g","Giảm 10k₫","89.000","Đã bán 400k+","https://shopee.vn/find_similar_products?catid=100630&itemid=45001175514&shopid=1506174776","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a",""
"https://shopee.vn/Combo-Cho-C%E1%BA%B7p-%C4%90%C3%B4i-Socola-Lust-Chocolate-k%E1%BA%BFt-h%E1%BB%A3p-th%E1%BA%A3o-m%E1%BB%99c-c%E1%BB%95-truy%E1%BB%81n-(H%E1%BB%99p-3-thanh)-i.1457513236.28935411569?extraParams=%7B%22display_model_id%22%3A159165230632%2C%22model_selection_logic%22%3A3%7D&rModelId=159165230632&vItemId=44265057668&vModelId=139430950887&vShopId=1506174776&xptdk=16c637f5-2055-4979-a5a1-4475df0cba8f","https://down-vn.img.susercontent.com/file/sg-11134253-824hx-mf0lrmldv8y288_tn.webp","-14%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Combo Cho Cặp Đôi Socola Lust Chocolate, kết hợp thảo mộc cổ truyền (Hộp 3 thanh)","","189.000","Đã bán 10k+","https://shopee.vn/find_similar_products?catid=100629&itemid=44265057668&shopid=1506174776","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6",""
"https://shopee.vn/%C3%81o-POLO-Tr%E1%BA%AFng-NY-B%C3%B3ng-Ch%C3%A0y-c%E1%BB%99c-tay-ch%E1%BA%A5t-co-gi%C3%A3n-th%E1%BA%A5m-m%E1%BB%93-h%C3%B4i-d%E1%BB%85-ch%E1%BB%8Bu-phong-c%C3%A1ch-tr%E1%BA%BB-trung-n%C4%83ng-%C4%91%E1%BB%99ng-i.68966127.23501869216?extraParams=%7B%22display_model_id%22%3A224563264349%2C%22model_selection_logic%22%3A3%7D&xptdk=039264a8-fc6f-4077-8edb-6233d2f3ae93","https://down-vn.img.susercontent.com/file/sg-11134253-821fe-mh31915vtix577_tn.webp","-53%","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mi5tlzx2jxtz75","Áo POLO Trắng NY Bóng Chày cộc tay chất co giãn thấm mồ hôi dễ chịu phong cách trẻ trung năng động","","77.500","Đã bán 9k+","https://shopee.vn/find_similar_products?catid=100011&itemid=23501869216&shopid=68966127","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6",""
